,epoch_nums,epochs,eta_decay,eta_initial,final_t_accuracy,final_t_cost,final_v_accuracy,final_v_cost,hidden_size,lamda,plot,rho,t_accuracy,t_cost,v_accuracy,v_cost 
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1212,2.8517310435117778,0.129,2.849158208719211,50,0.005,plotresults/Csearch11.png,0.9,"[0.093100000000000002, 0.097600000000000006, 0.099000000000000005, 0.10730000000000001, 0.1212]","[2.9185408005141902, 2.9057059710993727, 2.8891829223965413, 2.8707675894522793, 2.8517310435117778]","[0.096000000000000002, 0.099699999999999997, 0.1062, 0.11459999999999999, 0.129]","[2.9124855678124719, 2.9003033121100499, 2.8846244857023131, 2.867111630253119, 2.8491582087192109]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1596,2.849085731444352,0.161,2.850648442295358,50,0.005,plotresults/Csearch12.png,0.9,"[0.12909999999999999, 0.13239999999999999, 0.14099999999999999, 0.15079999999999999, 0.15959999999999999]","[2.8921770491163539, 2.8843682525966843, 2.8740291586353761, 2.8620234344063338, 2.8490857314443518]","[0.13450000000000001, 0.13919999999999999, 0.1482, 0.1547, 0.161]","[2.8923464127454555, 2.884790692154378, 2.8747778799399386, 2.863177699508987, 2.8506484422953582]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.1111,2.9162670931133516,0.1208,2.9028982244318438,50,0.005,plotresults/Csearch13.png,0.9,"[0.1061, 0.10730000000000001, 0.1084, 0.1099, 0.1111]","[2.926809713693701, 2.9250533308073834, 2.9226301444693283, 2.9196646155784625, 2.9162670931133516]","[0.1148, 0.1159, 0.1166, 0.11890000000000001, 0.1208]","[2.9128073152989087, 2.9111549024394341, 2.9088743271579198, 2.9060869697534959, 2.9028982244318438]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.5,0.3542,2.79149856998741,0.3335,2.8427347621671926,50,0.01,plotresults/Csearch14.png,0.9,"[0.20150000000000001, 0.26769999999999999, 0.30709999999999998, 0.33679999999999999, 0.35420000000000001]","[3.294899594497144, 3.1391545545435786, 3.0032737275627128, 2.8862153486366831, 2.79149856998741]","[0.20080000000000001, 0.25890000000000002, 0.29870000000000002, 0.32140000000000002, 0.33350000000000002]","[3.3034384915118693, 3.1614838310268523, 3.0355353791408972, 2.927094222070989, 2.8427347621671926]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.3,0.3179,2.9664621835522396,0.3042,3.0038473393625575,50,0.01,plotresults/Csearch15.png,0.9,"[0.18340000000000001, 0.23100000000000001, 0.26729999999999998, 0.30230000000000001, 0.31790000000000002]","[3.3774963248968599, 3.2690045817156843, 3.1421353022561509, 3.0484921134159459, 2.9664621835522396]","[0.17380000000000001, 0.2228, 0.26029999999999998, 0.29010000000000002, 0.30420000000000003]","[3.3800306351874041, 3.2775374445834018, 3.1583255924080604, 3.0750766906299649, 3.0038473393625575]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.1,0.2723,3.1402492526900643,0.2657,3.162140477517145,50,0.01,plotresults/Csearch16.png,0.9,"[0.15870000000000001, 0.2152, 0.23549999999999999, 0.24959999999999999, 0.27229999999999999]","[3.4096472228795829, 3.3240918360136571, 3.2561621544228752, 3.1986206579492169, 3.1402492526900643]","[0.15690000000000001, 0.20669999999999999, 0.22309999999999999, 0.24379999999999999, 0.26569999999999999]","[3.4167668913648548, 3.3344671208862064, 3.2693361476191223, 3.2160385399056195, 3.1621404775171449]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.05,0.2094,3.278494723536096,0.206,3.2884132944321944,50,0.01,plotresults/Csearch17.png,0.9,"[0.096199999999999994, 0.13730000000000001, 0.1731, 0.19719999999999999, 0.2094]","[3.466325773799158, 3.4133843860026607, 3.3616152394145953, 3.3171423073754611, 3.2784947235360962]","[0.1008, 0.13800000000000001, 0.16830000000000001, 0.19109999999999999, 0.20599999999999999]","[3.4676827812197568, 3.4169279627924141, 3.3672031679062746, 3.3250045572794265, 3.2884132944321944]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.01,0.1479,3.3953712538983374,0.1427,3.4013142973909627,50,0.01,plotresults/Csearch18.png,0.9,"[0.11849999999999999, 0.12330000000000001, 0.12839999999999999, 0.13689999999999999, 0.1479]","[3.4588980568054657, 3.4473566085327771, 3.4320614253348758, 3.4143658343008321, 3.3953712538983374]","[0.1135, 0.11700000000000001, 0.1232, 0.12989999999999999, 0.14269999999999999]","[3.4628099803021399, 3.4516290468298179, 3.4368230097166279, 3.4196689258382982, 3.4013142973909627]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.005,0.1027,3.4444916149938893,0.1055,3.43951151082943,50,0.01,plotresults/Csearch19.png,0.9,"[0.084199999999999997, 0.087099999999999997, 0.091499999999999998, 0.096500000000000002, 0.1027]","[3.4885157110159053, 3.4808637032841085, 3.4705271705596106, 3.4581962020433705, 3.4444916149938893]","[0.088599999999999998, 0.090700000000000003, 0.094500000000000001, 0.099099999999999994, 0.1055]","[3.4814854889166185, 3.4741568227033373, 3.4642830787662207, 3.4525345941717394, 3.4395115108294299]"
0,"[0, 1, 2, 3, 4]",5,0.95,0.001,0.1045,3.4776780737913153,0.103,3.4722788549868984,50,0.01,plotresults/Csearch20.png,0.9,"[0.099000000000000005, 0.1002, 0.1014, 0.1028, 0.1045]","[3.487218295087779, 3.4856222822596665, 3.4834248578245983, 3.4807427620194975, 3.4776780737913153]","[0.099000000000000005, 0.099699999999999997, 0.10050000000000001, 0.1012, 0.10299999999999999]","[3.4815155835841334, 3.4799698203535323, 3.4778424833346269, 3.4752453501941369, 3.4722788549868984]"
